timestamp;script_id;host;label;running;cpu;mem_used;mem_peak;mem_free;error
[2026-09-23 08:31:01];[Script 1];192.168.178.117;Regler;True;10;13972;19614;11214;
[2026-09-23 08:31:01];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:31:01];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:31:16];[Script 1];192.168.178.117;Regler;True;12;13356;19614;11830;
[2026-09-23 08:31:16];[Script 1];192.168.178.149;zenDash;True;0;13202;17458;11984;
[2026-09-23 08:31:16];[Script 1];192.168.178.151;watchdog;False;0;;;25200;
[2026-09-23 08:31:37];[Script 1];192.168.178.117;Regler;True;11;13356;19614;11830;
[2026-09-23 08:31:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:31:52];[Script 1];192.168.178.117;Regler;True;7;13356;19614;11830;
[2026-09-23 08:31:52];[Script 1];192.168.178.149;zenDash_watch;True;1;13202;17458;11984;
[2026-09-23 08:32:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:32:07];[Script 1];192.168.178.149;zenDash_watch;True;8;13202;17458;11984;
[2026-09-23 08:32:22];[Script 1];192.168.178.117;Regler;True;8;13356;19614;11830;
[2026-09-23 08:32:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:32:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:32:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:32:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:32:52];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:33:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:33:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:33:22];[Script 1];192.168.178.117;Regler;True;13;13356;19614;11830;
[2026-09-23 08:33:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:33:37];[Script 1];192.168.178.117;Regler;True;12;13356;19614;11830;
[2026-09-23 08:33:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:33:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:33:52];[Script 1];192.168.178.149;zenDash_watch;True;12;13202;17458;11984;
[2026-09-23 08:34:07];[Script 1];192.168.178.117;Regler;True;12;13356;19614;11830;
[2026-09-23 08:34:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:34:22];[Script 1];192.168.178.117;Regler;True;14;13356;19614;11830;
[2026-09-23 08:34:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:34:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:34:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:34:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:34:52];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:35:07];[Script 1];192.168.178.117;Regler;True;14;13356;19614;11830;
[2026-09-23 08:35:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:35:22];[Script 1];192.168.178.117;Regler;True;13;13356;19614;11830;
[2026-09-23 08:35:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:35:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:35:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:35:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:35:52];[Script 1];192.168.178.149;zenDash_watch;True;8;13202;17458;11984;
[2026-09-23 08:36:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:36:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:36:22];[Script 1];192.168.178.117;Regler;True;8;13356;19614;11830;
[2026-09-23 08:36:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:36:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:36:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:36:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:36:52];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:37:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:37:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:37:22];[Script 1];192.168.178.117;Regler;True;11;13356;19614;11830;
[2026-09-23 08:37:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:37:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:37:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:37:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:37:52];[Script 1];192.168.178.149;zenDash_watch;True;1;13202;17458;11984;
[2026-09-23 08:38:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:38:07];[Script 1];192.168.178.149;zenDash_watch;True;8;13202;17458;11984;
[2026-09-23 08:38:22];[Script 1];192.168.178.117;Regler;True;11;13356;19614;11830;
[2026-09-23 08:38:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:38:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:38:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:38:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:38:52];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:39:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:39:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:39:22];[Script 1];192.168.178.117;Regler;True;11;13356;19614;11830;
[2026-09-23 08:39:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:39:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:39:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:39:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:39:52];[Script 1];192.168.178.149;zenDash_watch;True;12;13202;17458;11984;
[2026-09-23 08:40:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:40:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:40:22];[Script 1];192.168.178.117;Regler;True;11;13356;19614;11830;
[2026-09-23 08:40:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:40:37];[Script 1];192.168.178.117;Regler;True;11;13356;19614;11830;
[2026-09-23 08:40:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:40:52];[Script 1];192.168.178.117;Regler;True;7;13356;19614;11830;
[2026-09-23 08:40:52];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:41:07];[Script 1];192.168.178.117;Regler;True;13;13356;19614;11830;
[2026-09-23 08:41:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:41:22];[Script 1];192.168.178.117;Regler;True;14;13356;19614;11830;
[2026-09-23 08:41:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:41:37];[Script 1];192.168.178.117;Regler;True;7;13356;19614;11830;
[2026-09-23 08:41:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:41:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:41:52];[Script 1];192.168.178.149;zenDash_watch;True;8;13202;17458;11984;
[2026-09-23 08:42:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:42:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:42:22];[Script 1];192.168.178.117;Regler;True;15;13356;19614;11830;
[2026-09-23 08:42:22];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:42:37];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:42:37];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:42:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:42:52];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 08:43:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 08:43:07];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 09:03:06];[Script 1];192.168.178.117;Regler;True;15;13356;19614;11830;
[2026-09-23 09:03:06];[Script 1];192.168.178.149;zenDash_watch;True;0;13202;17458;11984;
[2026-09-23 09:03:09];[Script 1];192.168.178.117;Regler;True;15;13356;19614;11830;
